trade_date,pe_ratio
2020-04-01,23.32
2020-03-31,24.4
2020-03-01,23.42
2020-02-28,28.05
2020-02-01,31.03
2020-01-31,30.84
2020-01-01,31.23
2019-12-31,30.97
2019-12-01,30.49
2019-11-01,29.91
2019-10-01,28.84
2019-09-01,29.23
2019-08-01,28.71
2019-07-01,29.99
2019-06-01,29.28
2019-05-31,28.34
2019-05-01,29.24
2019-04-01,30.13
2019-03-01,29.58
2019-02-01,29.54
2019-01-01,28.38
2018-12-01,28.29
2018-11-01,30.2
2018-10-01,31.04
2018-09-01,32.62
2018-08-01,32.39
2018-07-01,31.89
2018-06-01,31.63
2018-05-01,31.24
2018-04-01,30.97
2018-03-01,31.81
2018-02-01,32.04
2018-01-01,33.31
2017-12-01,32.09
2017-11-01,31.3
2017-10-01,30.92
2017-09-01,30.17
2017-08-01,29.91
2017-07-01,30.0
2017-06-01,29.75
2017-05-01,29.31
2017-04-01,28.9
2017-03-01,29.09
2017-02-01,28.66
2017-01-01,28.06
2016-12-01,27.87
2016-11-01,26.85
2016-10-01,26.53
2016-09-01,26.73
2016-08-01,26.95
2016-07-01,26.69
2016-06-01,25.84
2016-05-01,25.69
2016-04-01,25.92
2016-03-01,25.37
2016-02-01,24.0
2016-01-01,24.21
2015-12-01,25.97
2015-11-01,26.23
2015-10-01,25.49
2015-09-01,24.5
2015-08-01,25.69
2015-07-01,26.38
2015-06-01,26.5
2015-05-01,26.81
2015-04-01,26.79
2015-03-01,26.73
2015-02-01,27.0
2015-01-01,26.49
2014-12-01,26.79
2014-11-01,26.61
2014-10-01,25.16
2014-09-01,25.92
2014-08-01,25.62
2014-07-01,25.82
2014-06-01,25.56
2014-05-01,24.94
2014-04-01,24.79
2014-03-01,24.96
2014-02-01,24.59
2014-01-01,24.86
2013-12-01,24.86
2013-11-01,24.64
2013-10-01,23.83
2013-09-01,23.44
2013-08-01,23.36
2013-07-01,23.49
2013-06-01,22.93
2013-05-01,23.41
2013-04-01,22.6
2013-03-01,22.42
2013-02-01,22.05
2013-01-01,21.9
2012-12-01,21.24
2012-11-01,20.9
2012-10-01,21.58
2012-09-01,21.78
2012-08-01,21.41
2012-07-01,21.0
2012-06-01,20.55
2012-05-01,20.94
2012-04-01,21.78
2012-03-01,22.05
2012-02-01,21.8
2012-01-01,21.21
2011-12-01,20.52
2011-11-01,20.35
2011-10-01,20.16
2011-09-01,19.7
2011-08-01,20.05
2011-07-01,22.61
2011-06-01,22.1
2011-05-01,23.06
2011-04-01,23.14
2011-03-01,22.9
2011-02-01,23.49
2011-01-01,22.98
2010-12-01,22.4
2010-11-01,21.7
2010-10-01,21.24
2010-09-01,20.38
2010-08-01,19.77
2010-07-01,19.67
2010-06-01,19.74
2010-05-01,20.48
2010-04-01,21.8
2010-03-01,21.0
2010-02-01,19.92
2010-01-01,20.53
2009-12-01,20.32
2009-11-01,19.81
2009-10-01,19.36
2009-09-01,18.83
2009-08-01,18.09
2009-07-01,16.69
2009-06-01,16.38
2009-05-01,16.0
2009-04-01,14.98
2009-03-01,13.32
2009-02-01,14.12
2009-01-01,15.17
2008-12-01,15.38
2008-11-01,15.26
2008-10-01,16.39
2008-09-01,20.36
2008-08-01,21.4
2008-07-01,20.91
2008-06-01,22.42
2008-05-01,23.7
2008-04-01,23.36
2008-03-01,22.61
2008-02-01,23.5
2008-01-01,24.02
2007-12-01,25.96
2007-11-01,25.73
2007-10-01,27.32
2007-09-01,26.73
2007-08-01,26.15
2007-07-01,27.41
2007-06-01,27.42
2007-05-01,27.55
2007-04-01,26.98
2007-03-01,26.23
2007-02-01,27.32
2007-01-01,27.21
2006-12-01,27.28
2006-11-01,26.93
2006-10-01,26.54
2006-09-01,25.64
2006-08-01,25.05
2006-07-01,24.7
2006-06-01,24.75
2006-05-01,25.65
2006-04-01,26.15
2006-03-01,26.33
2006-02-01,26.25
2006-01-01,26.47
2005-12-01,26.44
2005-11-01,25.93
2005-10-01,24.88
2005-09-01,25.73
2005-08-01,26.1
2005-07-01,26.29
2005-06-01,26.07
2005-05-01,25.65
2005-04-01,25.41
2005-03-01,26.34
2005-02-01,26.74
2005-01-01,26.59
2004-12-01,27.14
2004-11-01,26.47
2004-10-01,25.41
2004-09-01,25.67
2004-08-01,25.17
2004-07-01,25.7
2004-06-01,26.4
2004-05-01,25.9
2004-04-01,26.9
2004-03-01,26.89
2004-02-01,27.65
2004-01-01,27.66
2003-12-01,26.64
2003-11-01,25.95
2003-10-01,25.68
2003-09-01,25.24
2003-08-01,24.64
2003-07-01,24.87
2003-06-01,24.83
2003-05-01,23.59
2003-04-01,22.43
2003-03-01,21.31
2003-02-01,21.21
2003-01-01,22.9
2002-12-01,23.1
2002-11-01,23.35
2002-10-01,21.96
2002-09-01,22.36
2002-08-01,23.59
2002-07-01,23.46
2002-06-01,26.39
2002-05-01,28.13
2002-04-01,29.01
2002-03-01,30.29
2002-02-01,29.09
2002-01-01,30.28
2001-12-01,30.5
2001-11-01,30.01
2001-10-01,28.58
2001-09-01,27.67
2001-08-01,31.4
2001-07-01,32.16
2001-06-01,33.07
2001-05-01,34.07
2001-04-01,32.17
2001-03-01,32.32
2001-02-01,35.83
2001-01-01,36.98
2000-12-01,37.27
2000-11-01,38.78
2000-10-01,39.37
2000-09-01,41.89
2000-08-01,42.87
2000-07-01,42.75
2000-06-01,42.78
2000-05-01,41.96
2000-04-01,43.53
2000-03-01,43.22
2000-02-01,42.18
2000-01-01,43.77
1999-12-01,44.19
1999-11-01,43.21
1999-10-01,40.55
1999-09-01,41.32
1999-08-01,41.93
1999-07-01,43.83
1999-06-01,42.18
1999-05-01,42.55
1999-04-01,42.7
1999-03-01,41.35
1999-02-01,40.4
1999-01-01,40.57
1998-12-01,38.82
1998-11-01,37.37
1998-10-01,33.77
1998-09-01,33.53
1998-08-01,35.42
1998-07-01,38.26
1998-06-01,36.8
1998-05-01,36.95
1998-04-01,37.27
1998-03-01,36.29
1998-02-01,34.71
1998-01-01,32.86
1997-12-01,33.03
1997-11-01,32.33
1997-10-01,32.9
1997-09-01,32.66
1997-08-01,32.58
1997-07-01,32.76
1997-06-01,31.25
1997-05-01,29.93
1997-04-01,27.58
1997-03-01,28.8
1997-02-01,29.26
1997-01-01,28.33
1996-12-01,27.72
1996-11-01,27.58
1996-10-01,26.48
1996-09-01,25.68
1996-08-01,25.41
1996-07-01,24.86
1996-06-01,25.96
1996-05-01,25.81
1996-04-01,25.42
1996-03-01,25.63
1996-02-01,25.97
1996-01-01,24.76
1995-12-01,25.03
1995-11-01,24.35
1995-10-01,23.93
1995-09-01,23.94
1995-08-01,23.28
1995-07-01,23.37
1995-06-01,22.72
1995-05-01,22.19
1995-04-01,21.64
1995-03-01,21.15
1995-02-01,20.8
1995-01-01,20.22
1994-12-01,19.91
1994-11-01,20.21
1994-10-01,20.39
1994-09-01,20.57
1994-08-01,20.53
1994-07-01,20.07
1994-06-01,20.29
1994-05-01,20.19
1994-04-01,20.05
1994-03-01,20.83
1994-02-01,21.26
1994-01-01,21.41
1993-12-01,21.16
1993-11-01,21.04
1993-10-01,21.11
1993-09-01,20.99
1993-08-01,20.81
1993-07-01,20.56
1993-06-01,20.61
1993-05-01,20.52
1993-04-01,20.46
1993-03-01,20.85
1993-02-01,20.54
1993-01-01,20.32
1992-12-01,20.45
1992-11-01,19.83
1992-10-01,19.37
1992-09-01,19.71
1992-08-01,19.72
1992-07-01,19.62
1992-06-01,19.31
1992-05-01,19.66
1992-04-01,19.3
1992-03-01,19.28
1992-02-01,19.58
1992-01-01,19.77
1991-12-01,18.44
1991-11-01,18.29
1991-10-01,18.35
1991-09-01,18.36
1991-08-01,18.51
1991-07-01,18.1
1991-06-01,18.01
1991-05-01,18.03
1991-04-01,18.16
1991-03-01,17.82
1991-02-01,17.36
1991-01-01,15.61
1990-12-01,15.85
1990-11-01,15.19
1990-10-01,14.82
1990-09-01,15.3
1990-08-01,16.17
1990-07-01,17.75
1990-06-01,17.82
1990-05-01,17.39
1990-04-01,16.81
1990-03-01,16.83
1990-02-01,16.51
1990-01-01,17.05
